rand-10 3.1721  0.0820  0.024
rand-100    14.7684 0.0877  0.020
transtub-100   10.62481 0.0879  0.026
fattree-20  3.7461  0.0784  0.021
fattree-45  10.2462 0.0697  0.021
fattree-80  12.7939 0.0774  0.023
